tweet_raw_id,tweet_created_at,tweet_retweeted_status_id,tweet_quoted_status_id,tweet_in_reply_to_status_id,user_raw_id,article_id,site_id,site_label
732263513230544896,2016-05-16 17:36:41,731696087011037184,731692258609774592,,402061844,349346,2,1
732263514040111105,2016-05-16 17:36:41,,,,2807635800,29044,60,0
732263563461558272,2016-05-16 17:36:52,732263161827495937,,,2331265305,349814,56,0
732263595862577152,2016-05-16 17:37:00,732263161827495937,,,3522283105,349814,56,0
732263595984097281,2016-05-16 17:37:00,732169631893454849,,,712392393836797952,1170365,56,0
732263601122201605,2016-05-16 17:37:01,,,,86959190,349368,48,0
732263616142049280,2016-05-16 17:37:05,732244604800643073,,,97793731,1170428,56,0
732263626225111041,2016-05-16 17:37:07,732263288449454080,,,1308675822,350755,56,0
732263652464660481,2016-05-16 17:37:14,732263162678890497,,,45154341,349814,56,0
732263659657891840,2016-05-16 17:37:15,,,,26356727,350993,4,1
732263665035034624,2016-05-16 17:37:17,732260358182723584,,,15399800,350977,4,1
732263666175909888,2016-05-16 17:37:17,732263162678890497,,,3586180212,349814,56,0
732263685754896385,2016-05-16 17:37:22,,,,2807635800,29044,60,0
732263705015156737,2016-05-16 17:37:26,731106763597094913,,,445282717,350999,11,0
732263727274299392,2016-05-16 17:37:32,731588145662197762,,,2331265305,1170336,56,0
732263732223561728,2016-05-16 17:37:33,732258019812073472,,,45154341,11774,56,0
732263734647758848,2016-05-16 17:37:33,732263161827495937,,,1378567909,349814,56,0
732263761227186176,2016-05-16 17:37:40,,,,3026416094,350812,57,0
732263828591915008,2016-05-16 17:37:56,,732263043925721088,,4883869587,349966,56,0
732263832308043776,2016-05-16 17:37:57,732263162678890497,,,3680356815,349814,56,0
732263861236031488,2016-05-16 17:38:03,732169631893454849,,,1005442969,1170365,56,0
732263871243800576,2016-05-16 17:38:06,,,,726440510332784640,350954,57,0
732263877929357313,2016-05-16 17:38:07,,,,37091078,350955,56,0
732263880840253440,2016-05-16 17:38:08,732258240575221764,,,3407994333,1170420,56,0
732263880890540032,2016-05-16 17:38:08,,,,37091078,1170450,56,0
732263890332090368,2016-05-16 17:38:10,,,,2807635800,349949,60,0
732263934292418560,2016-05-16 17:38:21,,,,4012479875,349886,66,0
732263963795296256,2016-05-16 17:38:28,732237929490186245,,,97793731,11774,56,0
732263974188679168,2016-05-16 17:38:30,732263161827495937,,,97492736,349814,56,0
732263984263483392,2016-05-16 17:38:33,732263161827495937,,,3680356815,349814,56,0
732263989976158208,2016-05-16 17:38:34,732244466497691648,,,386054825,196346,68,0
732264012621197312,2016-05-16 17:38:40,732240935585603584,,,1215929330,350791,66,0
732264034725138432,2016-05-16 17:38:45,,732254936973594624,,4702384890,1170428,56,0
732264036629274624,2016-05-16 17:38:45,731943742349795328,,,547265835,349197,56,0
732264063086911489,2016-05-16 17:38:52,732263161827495937,,,1072323325,349814,56,0
732264087560675328,2016-05-16 17:38:57,730394360982994944,,,2818206308,350991,4,1
732264108033212416,2016-05-16 17:39:02,732260267690708992,,,389486216,350968,43,0
732264116832731137,2016-05-16 17:39:04,,,,4831603043,350955,56,0
732264129117884416,2016-05-16 17:39:07,,,,4831603043,1170450,56,0
732264174940770304,2016-05-16 17:39:18,732244604800643073,,,725448266867970049,1170428,56,0
732264188848934912,2016-05-16 17:39:22,732264116832731137,,,3598959794,350955,56,0
732264208973193216,2016-05-16 17:39:26,,732244604800643073,,2444272184,1170428,56,0
732264217416482816,2016-05-16 17:39:28,,,,28768235,350992,41,0
732264228036415488,2016-05-16 17:39:31,732237929490186245,,,335469402,11774,56,0
732264237003743232,2016-05-16 17:39:33,,,,82530769,1170451,60,0
732264245472067585,2016-05-16 17:39:35,732264116832731137,,,719589898441867264,350955,56,0
732264257652461568,2016-05-16 17:39:38,,,,715206419163709440,350995,40,0
732264276593795073,2016-05-16 17:39:43,,,,710194492574474240,349368,48,0
732264291395469312,2016-05-16 17:39:46,732230080693329920,,,3366817923,231635,11,0
732264303898857472,2016-05-16 17:39:49,732263161827495937,,,730416734704795648,349814,56,0
732264373100503040,2016-05-16 17:40:06,732264116832731137,,,704130750644244480,350955,56,0
732264376258985984,2016-05-16 17:40:06,,,,28768235,349368,48,0
732264392759365632,2016-05-16 17:40:10,,,732263026049585152,486192374,282116,4,1
732264393031847936,2016-05-16 17:40:10,732260654254587905,,,4030552332,350832,56,0
732264402280431617,2016-05-16 17:40:12,,,,4428596416,349814,56,0
732264410765524994,2016-05-16 17:40:14,732263161827495937,,,389486216,349814,56,0
732264420525674496,2016-05-16 17:40:17,,,,97492736,349814,56,0
732264471587127300,2016-05-16 17:40:29,732264116832731137,,,2514475647,350955,56,0
732264490666954753,2016-05-16 17:40:34,732263161827495937,,,482326602,349814,56,0
732264506261377024,2016-05-16 17:40:37,732263161827495937,,,368503576,349814,56,0
732264512045228032,2016-05-16 17:40:39,732263162678890497,,,73858715,349814,56,0
732264519183925248,2016-05-16 17:40:40,732258019812073472,,,1057745347,11774,56,0
732264543938850816,2016-05-16 17:40:46,732263161827495937,,,1096586126,349814,56,0
732264592512974850,2016-05-16 17:40:58,,,,2791517640,350106,14,0
