,lower_day,user_id,user_raw_id,n_origin,n_retweet,n_reply,n_total
150,2016-08-01,348084,58416218,0,1,75,98
151,2016-08-01,474375,745674932542025729,6,17,1,98
152,2016-08-01,131366,90061805,61,0,34,95
153,2016-08-01,273326,3098633816,66,6,0,95
154,2016-08-01,39615,25655525,77,17,0,94
155,2016-08-01,278600,16517364,3,4,67,94
156,2016-08-01,64943,64035970,3,36,52,93
157,2016-08-01,91138,716394248489177088,0,93,0,93
158,2016-08-01,255334,43805270,0,93,0,93
159,2016-08-01,363576,1161486991,0,92,0,92
160,2016-08-01,487923,760892768722059265,0,0,92,92
161,2016-08-01,187965,741784392377470976,79,3,0,91
162,2016-08-01,413584,753269110344122368,0,5,85,90
163,2016-08-01,5749,1355218452,84,0,5,89
164,2016-08-01,7801,1101298442,0,88,0,89
165,2016-08-01,34649,20634939,20,69,0,89
166,2016-08-01,50555,233661066,9,0,80,89
167,2016-08-01,89287,437140719,0,85,0,87
168,2016-08-01,63123,193417702,0,85,0,85
169,2016-08-01,86749,728667927776464896,0,83,2,85
170,2016-08-01,250181,2995751217,32,0,0,85
171,2016-08-01,404084,535682332,3,75,7,85
172,2016-08-01,20173,195030017,0,84,0,84
173,2016-08-01,146560,4277241133,21,11,51,83
174,2016-08-01,165772,738751364277391360,1,24,55,83
175,2016-08-01,444268,255269018,0,0,83,83
176,2016-08-01,562237,224087114,83,0,0,83
177,2016-08-01,3817,30050899,13,68,0,82
178,2016-08-01,37178,183753455,0,81,0,81
179,2016-08-01,85738,2954404008,1,77,3,81
180,2016-08-01,14382,612057704,0,80,0,80
181,2016-08-01,35061,1723963088,12,27,31,80
182,2016-08-01,178679,45145252,14,64,1,80
183,2016-08-01,214760,56514919,1,0,79,80
184,2016-08-01,10507,14986009,4,62,0,78
185,2016-08-01,22328,2421228369,0,78,0,78
186,2016-08-01,69616,2463854064,0,78,0,78
187,2016-08-01,155691,371864433,0,76,0,78
188,2016-08-01,51348,370222416,0,77,0,77
189,2016-08-01,137517,1025425231,2,32,37,77
190,2016-08-01,291327,4742506513,77,0,0,77
191,2016-08-01,486068,37429421,0,0,77,77
192,2016-08-01,36710,607558430,4,5,66,76
193,2016-08-01,203945,35005762,7,67,0,76
194,2016-08-01,5368,134971995,1,74,0,75
195,2016-08-01,389472,2425757846,0,75,0,75
196,2016-08-01,57149,1884337686,0,28,9,74
197,2016-08-01,272868,23326668,0,72,0,73
198,2016-08-01,459156,269548441,3,9,61,73
199,2016-08-01,3438,865200110,0,70,2,72
200,2016-09-01,309449,751267069551734791,779,0,0,779
201,2016-09-01,2073,8953122,603,8,5,621
202,2016-09-01,3032,426903572,0,607,0,607
203,2016-09-01,585406,2324450454,3,16,112,524
204,2016-09-01,605227,726434208114036736,389,0,0,389
205,2016-09-01,5471,2896866728,312,0,0,312
206,2016-09-01,25887,22700291,36,199,0,254
207,2016-09-01,142360,15256049,238,8,0,247
208,2016-09-01,271731,747834623686774784,235,6,0,242
209,2016-09-01,63069,2780744569,8,0,231,240
210,2016-09-01,97577,3011582208,0,211,0,211
211,2016-09-01,2709,414003816,0,22,8,188
212,2016-09-01,37178,183753455,0,171,0,171
213,2016-09-01,13480,2560148358,0,139,31,170
214,2016-09-01,657244,774637238340562946,17,0,149,166
215,2016-09-01,471315,2183165196,158,0,0,158
216,2016-09-01,638960,368524480,4,2,144,156
217,2016-09-01,22998,153177381,0,154,0,154
218,2016-09-01,69616,2463854064,0,147,0,149
219,2016-09-01,504887,3789299356,0,142,0,149
220,2016-09-01,64943,64035970,7,18,112,148
221,2016-09-01,710321,778020800653848581,2,140,0,148
222,2016-09-01,3817,30050899,49,89,0,147
223,2016-09-01,6950,2734299494,146,0,0,146
224,2016-09-01,90731,44114618,0,139,5,145
225,2016-09-01,4193,86123044,0,59,79,139
226,2016-09-01,7653,767036004,0,55,83,138
227,2016-09-01,53250,71569841,22,3,111,137
228,2016-09-01,6777,22707692,86,25,21,136
229,2016-09-01,259550,106246857,0,134,2,136
230,2016-09-01,75020,4450541,2,124,7,134
231,2016-09-01,36342,466319594,0,132,0,132
232,2016-09-01,2618,3317649485,122,1,0,129
233,2016-09-01,51653,14908579,0,129,0,129
234,2016-09-01,2929,894292836,26,96,0,124
235,2016-09-01,584183,64406204,0,119,0,119
236,2016-09-01,63123,193417702,0,117,0,117
