source,target,tweet_id,tweet_type,weight
3C0VtZexu90wpiP,GriyaAmaad,919824807994318848,mention,1508138298
3C0VtZexu90wpiP,DanielaAdams19,920047829627883521,mention,1508191470
3C0VtZexu90wpiP,andrea_nemtseva,920073534847799297,mention,1508197599
3C0VtZexu90wpiP,uymOp7jz3kKgv2d,919903331660726273,mention,1508157019
3C0VtZexu90wpiP,dimakuznetsov62,920430187426312193,mention,1508282632
3C0VtZexu90wpiP,nastenabaturin1,920177502437429249,mention,1508222387
3C0VtZexu90wpiP,JovannLukasz,919780974598262784,mention,1508127847
3C0VtZexu90wpiP,nikitaivanov742,920560004486369281,mention,1508313582
AF1_4_TheDonald,Alyssa_Milano,920148193450405889,mention,1508215399
AF1_4_TheDonald,DWStweets,920148193450405889,mention,1508215399
AF1_4_TheDonald,LoriD4Christ,920148193450405889,mention,1508215399
CarolioneEberle,MarleeMatlin,920688212636442624,mention,1508344150
CarLGX77Qo6lBBP,JomelIlgar,919836699701710848,mention,1508141133
CarLGX77Qo6lBBP,uymOp7jz3kKgv2d,920057206845968384,retweet,1508193706
CarLGX77Qo6lBBP,Minina7234Elena,920181828425789445,mention,1508223418
CarLGX77Qo6lBBP,JoyeFujita,919835206957322240,mention,1508140777
CarLGX77Qo6lBBP,slavasannikov23,920537359015432192,mention,1508308183
CarLGX77Qo6lBBP,anastas81715439,920455269372571649,mention,1508288612
AnnatheACE,democracynow,920357592836304898,mention,1508265324
AnnatheACE,TaranaBurke,920357592836304898,mention,1508265324
AnnatheACE,aliciagarza,920357592836304898,mention,1508265324
CourtneyMarshay,RobinRoberts,920270753978814464,mention,1508244620
CourtneyMarshay,GMA,920270753978814464,mention,1508244620
CourtneyMarshay,itsgabrielleu,920270753978814464,mention,1508244620
Comekamene,democracynow,920349294414012416,mention,1508263345
Comekamene,TaranaBurke,920349294414012416,mention,1508263345
Comekamene,aliciagarza,920349294414012416,mention,1508263345
CaseyBr97303620,1WNupJxACXf2mPx,920047206350147591,retweet,1508191322
CaseyBr97303620,oliaaleksandr11,920047205934870530,retweet,1508191322
CaseyBr97303620,BOC3nOesQ01LjCZ,920047204705939456,retweet,1508191321
CaseyBr97303620,5YJeeCL8fw2tRCN,920050714893746176,retweet,1508192158
