,lower_day,user_id,user_raw_id,n_origin,n_retweet,n_reply,n_total
189,2016-07-01,3332,3376927462,0,225,0,225
190,2016-07-01,10489,2176799708,12,205,1,225
191,2016-07-01,7399,4922661084,211,12,0,224
192,2016-07-01,81735,511931994,224,0,0,224
193,2016-07-01,3051,368544047,130,90,1,223
194,2016-07-01,72652,518555194,221,0,0,221
195,2016-07-01,715,2359692109,34,179,4,220
196,2016-07-01,2691,1526458003,218,0,1,220
197,2016-07-01,1946,445015186,206,1,0,219
198,2016-07-01,5435,2199893304,71,88,54,218
199,2016-07-01,8813,709505904,212,6,0,218
200,2016-07-01,33484,4826912636,4,213,1,218
201,2016-07-01,176099,741010128904847365,0,217,0,217
202,2016-07-01,190192,496300822,2,213,0,217
203,2016-07-01,242288,3371637920,215,1,0,216
204,2016-07-01,219745,4700534838,165,49,0,215
205,2016-07-01,145,50836292,209,5,0,214
206,2016-07-01,37083,3342834724,0,213,0,213
207,2016-07-01,313120,26343215,191,20,1,213
208,2016-07-01,75226,3366403689,210,0,2,212
209,2016-07-01,3010,1483127431,210,0,0,210
210,2016-07-01,8467,2178922148,210,0,0,210
211,2016-07-01,2665,1125953346,204,1,0,209
212,2016-07-01,236469,1549532077,1,0,208,209
213,2016-07-01,8884,61009614,0,208,0,208
214,2016-07-01,13740,193525826,45,151,0,208
215,2016-07-01,24668,219248541,207,1,0,208
216,2016-07-01,36,4912318945,206,0,0,206
217,2016-07-01,72688,538789425,206,0,0,206
218,2016-07-01,3400,278570134,204,0,0,205
219,2016-07-01,22434,411829695,161,37,0,204
220,2016-07-01,1291,964546038,191,9,3,203
221,2016-07-01,18906,2521147680,159,44,0,203
222,2016-07-01,73832,518592899,203,0,0,203
223,2016-07-01,59706,15975240,1,0,0,202
224,2016-07-01,5036,3522283105,0,201,0,201
225,2016-07-01,6714,956571343,200,0,0,200
226,2016-07-01,49356,519157129,8,164,0,200
227,2016-07-01,318485,4922868578,9,185,0,197
228,2016-07-01,1904,3236130899,194,0,0,194
229,2016-07-01,12540,52279814,69,109,16,194
230,2016-07-01,54904,3131253213,192,1,0,194
231,2016-07-01,5428,558738770,0,185,3,193
232,2016-07-01,2098,259260816,189,0,2,191
233,2016-07-01,80693,1263440252,187,1,3,191
234,2016-07-01,6580,34665792,138,45,0,190
235,2016-07-01,2741,961172101,189,0,0,189
236,2016-07-01,6534,1534334539,183,5,0,188
237,2016-07-01,48941,3266700752,2,174,5,187
238,2016-07-01,86998,299599079,0,187,0,187
239,2016-07-01,2334,711553511440265216,0,186,0,186
240,2016-07-01,73055,518469041,186,0,0,186
241,2016-07-01,22749,76937426,185,0,0,185
242,2016-07-01,2418,4856364013,0,184,0,184
243,2016-07-01,6158,24806398,12,161,1,184
244,2016-07-01,136711,3051400362,180,4,0,184
245,2016-07-01,2518,1951788738,175,8,0,183
246,2016-07-01,2625,3886197252,170,7,0,183
247,2016-07-01,8007,4857096960,2,180,0,183
248,2016-07-01,24400,534117566,0,178,0,181
249,2016-07-01,3261,9235622,22,134,0,180
250,2016-07-01,7194,184897616,144,25,2,178
251,2016-07-01,8112,3111721,33,145,0,178
252,2016-07-01,3503,4018357222,176,0,0,176
253,2016-07-01,5345,488382884,176,0,0,176
254,2016-07-01,10028,805675543,169,5,0,174
255,2016-07-01,29333,2535507276,22,129,0,174
256,2016-07-01,264877,544589549,0,172,0,173
257,2016-07-01,14116,15712057,149,22,1,172
258,2016-07-01,129112,706695993182388224,28,9,84,172
259,2016-07-01,313,852553645,170,0,0,170
260,2016-07-01,1322,1977365496,99,71,0,170
261,2016-07-01,19239,3824077212,0,170,0,170
262,2016-07-01,22033,190939080,170,0,0,170
263,2016-07-01,308,32300193,166,3,0,169
264,2016-07-01,11846,3581125695,0,152,0,169
265,2016-07-01,16798,71344581,167,2,0,169
266,2016-07-01,6099,69483012,112,56,0,168
267,2016-07-01,22974,291121786,13,155,0,168
268,2016-07-01,2539,3131388107,167,0,0,167
269,2016-07-01,2561,262529998,7,159,0,166
270,2016-07-01,15254,55260264,146,19,0,165
271,2016-07-01,5956,3593568440,0,164,0,164
272,2016-07-01,8370,4571904743,0,164,0,164
273,2016-07-01,12799,20517889,1,162,0,164
274,2016-07-01,85278,2214318990,22,141,0,163
275,2016-07-01,7231,4498776677,120,42,0,162
276,2016-07-01,8236,715618818001776643,0,0,0,162
277,2016-07-01,13282,74756207,134,26,0,162
278,2016-07-01,2234,2327500422,14,144,2,160
279,2016-07-01,18473,55100779,87,73,0,160
280,2016-07-01,25470,81188804,160,0,0,160
281,2016-07-01,152766,350296113,56,28,0,160
282,2016-07-01,1154,3070209746,0,150,1,158
283,2016-07-01,69333,33733664,4,152,0,158
284,2016-07-01,809,27757215,157,0,0,157
285,2016-07-01,1279,134240162,117,40,0,157
286,2016-07-01,4202,3884926699,0,155,0,156
287,2016-07-01,12045,16410897,54,93,0,156
288,2016-07-01,303781,4655360417,71,46,0,156
289,2016-07-01,1373,3069614616,26,5,124,155
290,2016-07-01,1738,21531121,155,0,0,155
291,2016-07-01,5038,237686935,110,45,0,155
292,2016-07-01,6602,3586180212,0,155,0,155
293,2016-07-01,7511,3871576040,11,119,0,155
294,2016-07-01,59287,3274720530,72,59,0,155
295,2016-07-01,5254,723896723794440193,144,6,0,154
296,2016-07-01,357369,754538146726109184,153,0,0,153
297,2016-07-01,11938,39427853,150,2,0,152
298,2016-07-01,1391,3214717179,121,1,0,151
299,2016-07-01,13637,23479954,7,144,0,151
300,2016-07-01,17205,2382679416,129,21,0,151
301,2016-07-01,59453,149583391,151,0,0,151
302,2016-07-01,240945,3303965852,0,151,0,151
303,2016-07-01,291539,749930696546942976,0,151,0,151
304,2016-07-01,5235,4635245670,0,150,0,150
305,2016-07-01,87668,735317961452494848,0,150,0,150
306,2016-07-01,183506,741423378905632768,0,149,0,149
307,2016-07-01,10402,61921063,141,7,0,148
308,2016-07-01,24113,353996180,0,148,0,148
309,2016-07-01,886,709235498376683520,107,33,0,147
310,2016-07-01,30970,576291977,0,147,0,147
311,2016-07-01,1870,860691823,103,43,0,146
312,2016-07-01,5960,127693283,0,146,0,146
313,2016-07-01,1585,49884490,128,11,0,145
314,2016-07-01,5121,239499018,92,0,4,145
315,2016-07-01,5579,271602903,2,137,0,145
316,2016-07-01,7256,2654356639,2,143,0,145
317,2016-07-01,1200,15147510,144,0,0,144
318,2016-07-01,1243,44592655,144,0,0,144
319,2016-07-01,2342,33170847,143,0,1,144
320,2016-07-01,235927,744185866097025024,10,19,113,144
321,2016-07-01,26054,603217994,140,0,0,143
322,2016-07-01,2710,2687874710,3,132,0,142
323,2016-07-01,7989,2906473932,39,11,21,142
324,2016-07-01,28150,1566855548,22,108,1,142
325,2016-07-01,52777,3178690927,0,142,0,142
326,2016-07-01,305132,750905187783544832,122,18,0,142
327,2016-07-01,22284,3951047481,24,74,0,141
328,2016-07-01,6355,3269495126,41,84,0,140
329,2016-07-01,6363,73533261,129,9,2,140
330,2016-07-01,10308,2514505128,140,0,0,140
331,2016-07-01,12778,4183466843,1,135,0,138
332,2016-07-01,14637,1911098132,138,0,0,138
333,2016-07-01,653,2473143948,41,84,4,137
334,2016-07-01,1918,316821017,122,15,0,137
335,2016-07-01,14902,2268208070,0,137,0,137
336,2016-07-01,19445,2199719445,0,137,0,137
337,2016-07-01,12370,17436585,48,81,0,136
338,2016-07-01,198707,382852377,1,117,0,136
339,2016-07-01,13,2893898514,1,134,0,135
340,2016-07-01,1278,2480300490,124,11,0,135
341,2016-07-01,6581,4428596416,135,0,0,135
342,2016-07-01,273216,748241136691585024,0,135,0,135
343,2016-07-01,3945,2997416048,72,51,0,134
344,2016-07-01,4788,20332797,123,8,3,134
345,2016-07-01,8501,812079846,0,134,0,134
346,2016-07-01,17402,54065567,57,71,2,134
347,2016-07-01,229473,2685261120,0,134,0,134
348,2016-07-01,3790,2371328677,133,0,0,133
349,2016-07-01,8393,217575068,47,86,0,133
350,2016-07-01,154180,739469799462449152,102,25,0,133
351,2016-07-01,171227,708726272680046592,0,133,0,133
352,2016-07-01,325,2507476278,4,114,0,132
353,2016-07-01,4206,73858715,0,132,0,132
354,2016-07-01,5363,884311340,0,132,0,132
355,2016-07-01,7188,70804774,104,12,0,132
356,2016-07-01,7909,2192695398,121,11,0,132
357,2016-07-01,23576,21533462,112,17,1,132
358,2016-07-01,3105,90408018,127,4,0,131
359,2016-07-01,269493,29967056,2,121,0,131
360,2016-07-01,14381,226110292,19,111,0,130
361,2016-07-01,36754,37986522,5,104,2,130
362,2016-07-01,210542,4051260612,1,129,0,130
363,2016-07-01,559,66837294,129,0,0,129
364,2016-07-01,73611,334266353,129,0,0,129
365,2016-07-01,258332,117734032,17,10,100,129
366,2016-07-01,1449,718004031327698944,0,127,0,128
367,2016-07-01,11947,634595966,3,125,0,128
368,2016-07-01,15211,384763131,127,1,0,128
369,2016-07-01,19135,144367359,127,0,1,128
370,2016-07-01,19852,3480694935,0,128,0,128
371,2016-07-01,25756,3221921520,22,86,0,128
372,2016-07-01,28848,1034339780,6,118,3,128
373,2016-07-01,139925,16411598,14,114,0,128
374,2016-07-01,367794,950531623,128,0,0,128
375,2016-07-01,1805,29463046,8,118,1,127
376,2016-07-01,11916,316161690,0,127,0,127
377,2016-07-01,14574,700747161290452992,0,120,6,126
378,2016-07-01,1652,2759013451,0,125,0,125
379,2016-07-01,5317,231282120,0,124,0,124
380,2016-07-01,23457,86441511,92,26,0,124
381,2016-07-01,23664,71862569,1,118,0,124
382,2016-07-01,558,126646669,95,28,0,123
383,2016-07-01,3555,865060466,47,74,2,123
384,2016-07-01,8486,15273001,2,121,0,123
385,2016-07-01,14798,320252434,102,21,0,123
386,2016-07-01,6632,3598959794,2,120,0,122
387,2016-07-01,25122,705426933123649536,0,120,0,122
388,2016-07-01,31761,264376821,58,64,0,122
389,2016-07-01,50777,44554315,0,120,0,122
390,2016-07-01,309607,751490662923632640,122,0,0,122
