snopes,fake,s_pd,s_ftw,f_pd,f_ftw,f_n,id
http://www.snopes.com/mike-pence-supported-gay-conversion-therapy/,http://nationalreport.net/michele-bachmann-prays-gay-conversion-therapy-help-husband/,2016-10-26 23:23:54,2016-10-26 23:39:01,2016-07-14 15:29:15,2016-07-14 15:29:34,7,56
http://www.snopes.com/2016/08/09/politics-sites-mismatched-clinton-rally-image-goes-viral/,http://www.infowars.com/media-photoshops-hillary-crowd-to-make-her-audience-look-bigger/,2016-08-09 17:52:29,2016-08-09 17:58:23,2016-08-09 11:31:16,2016-08-09 11:32:43,1566,57
http://www.snopes.com/police-shoot-department-store-mannequin-67-times-after-mistaking-it-for-gunman/,http://realnewsrightnow.com/2016/08/police-shoot-department-store-mannequin-67-times-mistaking-gunman/,2016-08-16 19:13:14,2016-08-16 19:17:19,2016-08-15 09:26:17,2016-08-15 13:27:45,126,58
http://www.snopes.com/mike-pence-condom-ban/,http://www.newslo.com/mike-pence-calls-ban-condoms-lead-abortions/,2016-08-29 20:25:58,2016-08-29 20:30:31,2016-08-16 21:50:29,2016-08-22 13:36:31,18,59
http://www.snopes.com/samsung-smartphones-truck-explodes/,http://worldnewsdailyreport.com/shipment-of-samsung-smartphones-explodes-during-transport-3-dead/,2016-09-14 21:33:55,2016-09-14 21:45:23,2016-09-01 16:53:13,2016-09-10 19:38:29,15,60
http://www.snopes.com/canada-legalizes-beastiality,http://www.infowars.com/canada-legalizes-oral-sex-with-pets/,2016-06-10 23:29:20,2016-06-11 00:20:22,2016-06-10 17:49:11,2016-06-10 17:50:49,269,61
http://www.snopes.com/2016/11/14/melania-sign-at-anti-trump-protest/,http://www.dcclothesline.com/2016/11/14/wheres-the-feminist-outrage-as-rapemelania-trends-on-twitter/,2016-11-14 16:51:59,2016-11-14 16:58:35,2016-11-14 10:45:43,2016-11-14 10:46:42,56,62
http://www.snopes.com/black-mob-beats-white-man-for-voting-trump/,http://www.infowars.com/shock-video-black-mob-viciously-beats-white-trump-voter/,2016-11-10 20:32:12,2016-11-10 20:43:01,2016-11-10 12:16:45,2016-11-10 12:09:57,12076,63
http://www.snopes.com/deray-mckesson-and-the-summer-of-chaos/,http://www.dcclothesline.com/2016/07/06/hacked-messages-of-blacklivesmatter-leader-reveal-obama-admins-plan-for-summer-of-chaos-and-martial-law/,2016-07-08 22:39:28,2016-07-08 22:44:45,2016-07-06 11:08:41,2016-07-06 09:09:26,1047,64
http://www.snopes.com/daughter-fertilizes-eggs-with-fathers-sperm/,http://worldnewsdailyreport.com/denmark-daughter-fertilizes-own-eggs-with-sperm-of-deceased-father/,2016-10-17 06:57:59,2016-10-17 07:09:07,2016-10-08 12:09:42,2016-10-16 20:07:36,1,65
http://www.snopes.com/isis-leader-supports-hillary/,http://worldnewsdailyreport.com/isis-leader-calls-for-american-muslim-voters-to-support-hillary-clinton/,2016-10-21 18:00:49,2016-10-21 18:01:23,2016-10-11 14:32:14,2016-10-11 17:24:16,1439,66
http://www.snopes.com/hillary-clinton-had-drunken-meltdown-after-losing-the-election/,http://www.infowars.com/report-hillary-became-physically-violent-after-she-realized-she-had-lost-the-election/,2016-11-16 06:12:14,2016-11-16 06:16:08,2016-11-15 12:04:13,2016-09-12 21:56:42,6851,67
http://www.snopes.com/flags-banned-at-dnc/,http://www.nowtheendbegins.com/flag-flown-democratic-convention-jihad-flag-palestine/,2016-07-26 15:25:34,2016-07-26 15:33:51,2016-07-26 12:38:02,2016-07-26 12:46:45,23,68
http://www.snopes.com/black-lives-matter-protesters-chant-for-dead-cops-now-in-baton-rouge/,http://www.infowars.com/black-lives-matter-supporters-islamists-celebrate-murder-of-baton-rouge-cops/,2016-07-18 18:01:33,2016-07-18 18:02:02,2016-07-17 17:34:01,2016-07-17 16:36:40,5977,69
http://www.snopes.com/hillary-clinton-has-parkinsons-disease/,http://www.infowars.com/top-doctor-concerns-over-hillarys-health-not-a-conspiracy-theory/,2016-09-11 00:10:54,2016-09-11 00:17:39,2016-08-22 14:02:50,2016-08-22 13:43:23,4062,70
http://www.snopes.com/debate-secret-hand-signals/,http://www.infowars.com/world-champion-poker-player-clinton-secretly-signaled-moderator-during-debate/,2016-09-28 22:12:38,2016-09-28 22:31:24,2016-09-28 19:31:29,2016-09-28 19:34:51,349,71
http://www.snopes.com/human-sacrifice-captured-at-cern/,http://worldtruth.tv/murder-at-cern-disturbing-human-sacrifice-video-surfaces/,2016-08-17 18:58:04,2016-08-17 19:00:29,2016-08-12 12:46:19,2016-08-12 16:46:45,9,72
http://www.snopes.com/alicia-machado-adult-star/,http://www.infowars.com/hillarys-new-anti-trump-poster-child-is-a-porn-star-accused-of-driving-a-murder-getaway-vehicle-threatening-to-kill-a-judge/,2016-09-28 18:32:41,2016-09-28 18:42:07,2016-09-28 12:28:22,2016-09-28 12:31:12,2126,73
http://www.snopes.com/hunter-nearly-killed-by-brutal-sexual-assault-from-moose/,http://worldnewsdailyreport.com/hunter-nearly-killed-by-brutal-sexual-assault-from-1200-lbs-moose/,2016-11-16 18:26:28,2016-11-16 18:28:17,2016-11-07 14:54:19,2016-11-16 02:58:57,13,74
