snopes,fake,s_pd,f_pd
http://www.snopes.com/black-mob-beats-white-man-for-voting-trump/,http://www.infowars.com/shock-video-black-mob-viciously-beats-white-trump-voter/,2016-11-10 20:32:12,2016-11-10 12:16:45
http://www.snopes.com/2016/11/14/melania-sign-at-anti-trump-protest/,http://www.dcclothesline.com/2016/11/14/wheres-the-feminist-outrage-as-rapemelania-trends-on-twitter/,2016-11-14 16:51:59,2016-11-14 10:45:43
http://www.snopes.com/islam-banned-u-s-1952/,http://beforeitsnews.com/alternative/2015/12/islam-was-banned-from-the-usa-in-1952-but-youre-not-supposed-to-know-it-3254732.html,2015-12-09 15:00:41,2015-12-09 06:15:00
http://www.snopes.com/samsung-smartphones-truck-explodes/,http://worldnewsdailyreport.com/shipment-of-samsung-smartphones-explodes-during-transport-3-dead/,2016-09-14 21:33:55,2016-09-01 16:53:13
http://www.snopes.com/media/notnews/vikingship.asp,http://worldnewsdailyreport.com/usa-viking-ship-discovered-near-mississipi-river/,2014-08-19 00:37:16,2014-08-13 21:48:03
http://www.snopes.com/michele-bachmann-white-people-suffered-more-under-obama-than-blacks-during-slavery/,http://politicops.com/bachmann-white-people-suffered-last-8-years-blacks-couple-years-slavery/,2016-08-24 20:00:37,2016-08-23 23:20:05
http://www.snopes.com/chemotherapy-doctor-blows-the-whistle/,http://www.realfarmacy.com/chemotherapy-not-cancer/,2016-09-04 17:15:10,2016-06-10 04:08:52
http://www.snopes.com/buzz-aldrin-tweeted-we-are-all-in-danger-it-is-evil-itself/,http://beforeitsnews.com/conspiracy-theories/2016/12/a-mysterious-tweet-by-astronaut-buzz-aldrin-2478714.html,2016-12-13 19:12:11,2016-12-06 13:30:00
http://www.snopes.com/media/notnews/snowmageddon.asp,http://empirenews.net/meteorologists-predict-record-shattering-snowfalls-coming-soon-bread-milk-prices-expected-to-soar/,2016-10-04 16:56:20,2014-09-06 15:21:17
http://www.snopes.com/scientists-recreate-trex/,http://worldnewsdailyreport.com/scientists-successfully-recreate-tyrannosaurus-rex-embryo-from-chicken-dna/,2016-10-17 16:16:37,2016-04-15 19:49:40
http://www.snopes.com/hillary-clinton-freed-child-rapist-laughed-about-it/,https://www.intellihub.com/video-hillary-clinton-brags-getting-pedophile-off-hook/,2016-05-02 15:03:20,2016-01-25 02:44:20
http://www.snopes.com/POLITICS/clintons/zeifman.asp,http://www.infowars.com/flashback-hillary-clinton-fired-from-watergate-investigation-for-lying-unethical-behavior/,2015-04-19 22:04:36,2013-05-15 19:08:04
http://www.snopes.com/alien-cellphone-found/,http://www.disclose.tv/news/outoftime_800yearold_mobile_cell_phone_found_in_austria/125882,2016-01-04 18:55:21,2015-12-24 00:09:10
http://www.snopes.com/hillary-clinton-has-parkinsons-disease/,http://www.infowars.com/secret-service-whistleblower-hillary-has-major-neurological-problems/,2016-09-11 00:10:54,2016-08-15 11:16:33
http://www.snopes.com/media/notnews/beaniebabyspiders.asp,http://www.clickhole.com/article/90s-kids-rejoice-spider-eggs-they-used-fill-beanie-1209,2015-04-19 22:28:56,2014-11-05 17:32:00
http://www.snopes.com/target-holy-bible-ban/,http://nationalreport.net/target-discontinue-sale-holy-bible/,2016-05-18 16:37:33,2016-05-18 01:16:59
http://www.snopes.com/syrian-rescue-organization-the-white-helmets-are-terrorists/,http://www.globalresearch.ca/the-real-syria-civil-defence-exposes-natos-white-helmets-as-terrorist-linked-imposters/5547528,2016-12-16 17:56:49,2016-09-24 00:00:00
http://www.snopes.com/30000-scientists-reject-climate-change/,http://www.naturalnews.com/055151_global_warming_science_hoax_climate_skepticism.html,2016-10-24 19:26:15,2016-08-31 00:00:00
http://www.snopes.com/nancy-reagan-hillary-clinton/,http://nationalreport.net/nancy-reagan-want-hillary-win/,2016-02-24 20:16:43,2015-04-08 19:30:38
http://www.snopes.com/isis-leader-supports-hillary/,http://worldnewsdailyreport.com/isis-leader-calls-for-american-muslim-voters-to-support-hillary-clinton/,2016-10-21 18:00:49,2016-10-11 14:32:14
http://www.snopes.com/khizr-khan-375000-clinton-foundation/,http://www.govtslaves.info/375000-deposited-to-the-khan-law-account-from-the-clinton-foundation/,2016-08-06 23:07:01,2016-08-05 19:55:45
http://www.snopes.com/pat-robertson-melania-nude-pics/,http://politicops.com/pat-robertson-melanias-nude-pics-pure-art-shows-beauty-gods-work/,2016-08-02 23:56:50,2016-08-01 21:44:49
http://www.snopes.com/food-stamps-rfid-mandatory/,http://worldtruth.tv/food-stamp-welfare-individuals-must-be-rfid-chipped-2/,2016-01-28 23:05:27,2015-04-27 11:25:25
http://www.snopes.com/president-obama-takes-a-knee-during-national-anthem/,http://nationalreport.net/obama-takes-a-knee-during-national-anthem/,2016-09-24 17:18:27,2016-09-19 15:52:40
http://www.snopes.com/three-syrian-refugees-assault-5-year-old-girl-at-knifepoint/,http://www.nowtheendbegins.com/idaho-town-covers-up-rape-of-little-girl-at-knifepoint-by-three-syrian-muslim-refugees/,2016-06-20 17:39:25,2016-06-20 14:11:39
http://www.snopes.com/humor/iftrue/tacobell.asp,http://weeklyworldnews.com/headlines/28546/taco-bell-meat/,2015-06-01 21:46:54,2011-01-26 05:12:38
http://www.snopes.com/sweden-bans-christmas-lights/,http://www.infowars.com/sweden-bans-christmas-street-lights-to-avoid-offending-muslim-migrants/,2016-10-27 21:30:13,2016-10-25 17:39:00
http://www.snopes.com/clinton-compliant-citizenry/,http://www.infowars.com/clinton-campaign-email-outlines-effort-to-produce-an-unaware-and-compliant-citizenry/,2016-10-11 19:52:54,2016-10-11 10:48:17
http://www.snopes.com/politics/medical/pepsi.asp,http://www.naturalnews.com/049367_aborted_babies_flavor_chemicals_food_corporations.html,2016-08-18 22:37:40,2015-04-15 00:00:00
http://www.snopes.com/khizr-khan-375000-clinton-foundation/,http://govtslaves.info/375000-deposited-to-the-khan-law-account-from-the-clinton-foundation/,2016-08-06 23:07:01,2016-08-05 19:55:45
http://www.snopes.com/life-expectancy-in-the-united-states-declining-thanks-to-obamacare/,http://www.naturalnews.com/055860_Americans_life_expectancy_plummeting_health.html,2016-11-04 00:49:11,2016-11-02 00:00:00
http://www.snopes.com/woman-runs-husband-down-with-suv-because-he-voted-for-trump/,http://worldnewsdailyreport.com/woman-runs-over-her-husband-with-an-suv-after-learning-he-voted-for-trump/,2016-11-17 03:37:11,2016-11-14 18:19:21
http://www.snopes.com/politics/satire/sharia.asp,http://nationalreport.net/city-michigan-first-fully-implement-sharia-law/,2015-06-24 03:50:02,2013-10-27 19:20:16
