user_id,n_fake_sites,n_fact_sites,n_total_sites
40189359,25,3,28
51967388,25,3,28
58052610,25,3,28
59241915,25,4,29
71344581,25,1,26
82616432,25,3,28
88550047,25,5,30
95097330,25,3,28
185579226,25,3,28
186506052,25,4,29
190878483,25,5,30
229278838,25,4,29
248817158,25,4,29
275701123,25,3,28
295195137,25,2,27
360967238,25,2,27
414563038,25,2,27
475274420,25,4,29
479104121,25,3,28
490179072,25,4,29
512327871,25,2,27
527276621,25,4,29
635195109,25,4,29
765213068,25,2,27
798530833,25,4,29
900187770,25,5,30
930808560,25,3,28
1160775618,25,3,28
1216957579,25,4,29
1281940632,25,2,27
1301244769,25,4,29
1340802312,25,3,28
1341686353,25,3,28
1424605753,25,3,28
1561539391,25,4,29
1566816938,25,5,30
1695217200,25,4,29
1863145748,25,1,26
1925001980,25,4,29
1948657260,25,1,26
2305367580,25,3,28
2424564421,25,5,30
2440620382,25,3,28
2473143948,25,4,29
2543427014,25,3,28
2618573184,25,2,27
2732884978,25,1,26
2746979823,25,4,29
2779517050,25,3,28
2868389650,25,3,28
2882972224,25,4,29
3028228054,25,4,29
3083086600,25,1,26
3143511569,25,1,26
3405929189,25,1,26
3413212065,25,4,29
3435638633,25,5,30
3439536453,25,3,28
3548005397,25,3,28
3628257623,25,3,28
3647712853,25,4,29
3663025166,25,4,29
3721957513,25,3,28
3947091915,25,5,30
4065570080,25,3,28
4098447160,25,4,29
4516076294,25,4,29
4533292933,25,3,28
4623007456,25,4,29
4864785838,25,1,26
4896201527,25,4,29
4910270788,25,4,29
703971353351696384,25,2,27
705441738391838720,25,4,29
705814755869470720,25,4,29
707253890299744256,25,4,29
708792951187632128,25,3,28
711379646319861760,25,5,30
721118837349957632,25,4,29
725770009553719300,25,4,29
740272397371068417,25,2,27
756839678020497409,25,3,28
762708618063904768,25,3,28
796090831060934657,25,2,27
14066928,24,3,27
14338727,24,3,27
16606038,24,3,27
17712142,24,4,28
18393418,24,2,26
18412711,24,4,28
18568363,24,4,28
21091983,24,4,28
27443191,24,2,26
28534205,24,3,27
29993565,24,3,27
31223236,24,4,28
31495921,24,2,26
33611715,24,2,26
38863786,24,3,27
49190063,24,3,27
49449357,24,3,27
53818115,24,2,26
62147616,24,4,28
71625602,24,2,26
85096288,24,4,28
88071033,24,2,26
96868223,24,4,28
111412750,24,3,27
137745632,24,1,25
158830865,24,3,27
179250417,24,2,26
182606087,24,4,28
205472863,24,3,27
211345057,24,3,27
220584725,24,3,27
223719518,24,4,28
257097577,24,3,27
260337572,24,3,27
272118514,24,0,24
301416337,24,3,27
306924364,24,4,28
311663803,24,5,29
344811563,24,3,27
349784771,24,2,26
379508299,24,1,25
383906888,24,2,26
399745111,24,5,29
402744581,24,3,27
425580734,24,3,27
537602851,24,3,27
550684641,24,3,27
567504692,24,2,26
615360297,24,3,27
724706594,24,3,27
807472957,24,4,28
843820334,24,3,27
860660888,24,3,27
874505142,24,1,25
874628059,24,3,27
1130244464,24,3,27
1339944438,24,3,27
1403726954,24,3,27
1434771787,24,3,27
1459916354,24,2,26
1524857611,24,4,28
1542767918,24,1,25
1713036884,24,4,28
1714215379,24,3,27
1733257164,24,3,27
1950315650,24,3,27
2269297818,24,0,24
2272203114,24,3,27
2303716045,24,4,28
2326604153,24,3,27
2496377724,24,5,29
2507476278,24,4,28
2523556454,24,5,29
2550575082,24,3,27
2571168301,24,4,28
2614240147,24,4,28
2711204024,24,2,26
2737239349,24,2,26
3006597155,24,3,27
3038933527,24,3,27
3089040558,24,4,28
3246358172,24,3,27
3248164884,24,3,27
3248410062,24,3,27
3296734251,24,3,27
3308193378,24,4,28
3309967506,24,3,27
3314677222,24,3,27
3320941218,24,3,27
3422158725,24,3,27
3621438492,24,5,29
3740303121,24,4,28
3766084042,24,2,26
3902565862,24,4,28
4077660797,24,3,27
4244457140,24,4,28
4422984375,24,3,27
4445498741,24,4,28
4470633014,24,4,28
4583867542,24,4,28
4845420380,24,4,28
4856996010,24,4,28
4866494759,24,3,27
4885703096,24,4,28
4886213447,24,3,27
708458185494040576,24,3,27
712690051201695744,24,4,28
713127503351713793,24,2,26
723896723794440193,24,1,25
731264289579798528,24,3,27
733776663708901376,24,5,29
739287692425330688,24,3,27
739469799462449152,24,4,28
741784392377470976,24,4,28
785318767278653440,24,1,25
789876171030732800,24,3,27
14359655,23,2,25
16829397,23,4,27
17099193,23,3,26
17687565,23,2,25
17907878,23,3,26
18393661,23,4,27
19380916,23,5,28
19832102,23,3,26
21647998,23,2,25
25924647,23,3,26
32495439,23,4,27
34744730,23,3,26
35784576,23,4,27
42531027,23,4,27
43496095,23,3,26
44148003,23,4,27
52141764,23,4,27
63826026,23,1,24
65120853,23,3,26
65484730,23,4,27
74484610,23,3,26
86441511,23,3,26
91493488,23,2,25
97793731,23,4,27
107209093,23,2,25
109014242,23,2,25
109623426,23,4,27
122445605,23,4,27
140638175,23,4,27
141938077,23,3,26
147248694,23,3,26
164342281,23,3,26
216446007,23,1,24
216498790,23,4,27
216587627,23,3,26
217137252,23,5,28
225937279,23,1,24
257933772,23,3,26
274207288,23,4,27
293745809,23,2,25
304061756,23,4,27
317975293,23,2,25
320307136,23,4,27
336594986,23,1,24
363761111,23,4,27
382209139,23,4,27
393190233,23,2,25
431917957,23,4,27
436360631,23,3,26
486882714,23,3,26
498065893,23,3,26
509384598,23,4,27
563197367,23,2,25
565112744,23,4,27
613796565,23,5,28
714479834,23,3,26
733513268,23,3,26
740637475,23,4,27
770745098,23,3,26
789738380,23,4,27
859219800,23,0,23
887957676,23,1,24
966358014,23,3,26
975217231,23,4,27
1080576949,23,4,27
1242171468,23,3,26
1265204137,23,2,25
1337701074,23,1,24
1403085170,23,3,26
1411272246,23,5,28
1629828379,23,0,23
1631841212,23,2,25
1646044446,23,3,26
1655766132,23,3,26
1723376107,23,5,28
1909451209,23,3,26
1952636125,23,4,27
2153753316,23,2,25
2155538965,23,1,24
2167585616,23,4,27
2172753872,23,3,26
2197388417,23,3,26
2211027127,23,5,28
2262620679,23,3,26
2295343929,23,4,27
2313139874,23,3,26
2314489021,23,3,26
2351922506,23,0,23
2386773551,23,1,24
2519063076,23,4,27
2546186313,23,4,27
2582427774,23,2,25
2595978877,23,3,26
2775514122,23,4,27
2823620637,23,4,27
2829196009,23,3,26
2898190371,23,0,23
2904670939,23,0,23
2941051091,23,3,26
3006600919,23,3,26
3010312991,23,4,27
3034992840,23,3,26
3098500169,23,3,26
3138769552,23,2,25
3155025981,23,3,26
3217529705,23,3,26
3234781559,23,5,28
3265487640,23,2,25
3318612142,23,3,26
3435940588,23,4,27
3609635354,23,2,25
3642461540,23,0,23
3711628096,23,3,26
3724908496,23,2,25
3927572774,23,4,27
3951026057,23,3,26
4041511396,23,4,27
4046848545,23,2,25
4171684919,23,4,27
4464465437,23,3,26
4578923921,23,3,26
4693602139,23,4,27
4700477725,23,3,26
4744232172,23,2,25
4762909946,23,1,24
4830482521,23,2,25
4833337067,23,2,25
4847877405,23,2,25
4885744525,23,4,27
707662175926509568,23,1,24
709907306255810560,23,5,28
716286508542652416,23,3,26
719575907166470148,23,3,26
726440510332784640,23,2,25
729866734815993856,23,3,26
743600698416332800,23,4,27
754884880996020225,23,5,28
756124598408577024,23,4,27
758789247306313729,23,4,27
763162689086427136,23,3,26
2063181,22,3,25
10323562,22,4,26
14613185,22,3,25
14791358,22,4,26
14984662,22,4,26
15427912,22,4,26
15640075,22,3,25
16482165,22,2,24
16611239,22,2,24
18739458,22,2,24
23037924,22,3,25
24716002,22,3,25
25718382,22,1,23
26947929,22,5,27
27686745,22,3,25
28094219,22,2,24
29409786,22,2,24
33409429,22,2,24
42227444,22,5,27
50010587,22,3,25
50347977,22,1,23
50679073,22,3,25
50836292,22,2,24
60429771,22,4,26
61076635,22,1,23
61350866,22,3,25
68435756,22,3,25
69519762,22,4,26
74756207,22,2,24
76937426,22,2,24
78831504,22,2,24
79673273,22,1,23
86378821,22,5,27
86794987,22,3,25
97710257,22,3,25
110767355,22,4,26
111056827,22,3,25
113423108,22,1,23
113423378,22,4,26
114494345,22,2,24
126646669,22,1,23
127693283,22,1,23
133005157,22,3,25
135008854,22,3,25
136764118,22,4,26
157054921,22,3,25
177584156,22,4,26
180111748,22,2,24
187059363,22,4,26
187419840,22,3,25
189642644,22,2,24
192036002,22,4,26
192959969,22,3,25
199056422,22,4,26
216195586,22,3,25
219248541,22,2,24
228134082,22,3,25
234824731,22,2,24
236268614,22,1,23
237984820,22,1,23
242618658,22,4,26
244360818,22,0,22
245750555,22,3,25
256184059,22,4,26
258386116,22,4,26
260369607,22,4,26
264219232,22,3,25
265710819,22,4,26
271851676,22,3,25
289836894,22,4,26
301212396,22,5,27
303896480,22,2,24
304820025,22,3,25
307354410,22,4,26
315994858,22,3,25
319972036,22,3,25
324489515,22,4,26
335353868,22,3,25
345016326,22,2,24
353931229,22,2,24
356324005,22,4,26
356360314,22,3,25
367439014,22,3,25
369029151,22,3,25
371072641,22,4,26
388150165,22,4,26
389281501,22,2,24
396198196,22,4,26
401657173,22,4,26
402061844,22,4,26
416729595,22,3,25
433792330,22,3,25
447163884,22,5,27
478157435,22,4,26
522585544,22,4,26
525750162,22,2,24
533014463,22,2,24
544589549,22,5,27
550312259,22,3,25
574915137,22,5,27
583005149,22,4,26
589511830,22,4,26
591887278,22,0,22
598319603,22,3,25
615675507,22,1,23
752895662,22,2,24
776998171,22,4,26
783210577,22,2,24
787887222,22,3,25
790578828,22,3,25
860311272,22,4,26
870721279,22,2,24
890674015,22,3,25
905374200,22,4,26
936148682,22,3,25
996172243,22,3,25
1150914516,22,4,26
1180508838,22,2,24
1283090984,22,2,24
1325337348,22,3,25
1350664958,22,2,24
1357216692,22,3,25
1361076439,22,3,25
1370971824,22,4,26
1426710036,22,3,25
1520617003,22,3,25
1531911318,22,2,24
1551604218,22,4,26
1596223609,22,3,25
1647839894,22,4,26
1681152000,22,3,25
1724568876,22,2,24
1736108306,22,1,23
1849839132,22,5,27
1890976934,22,4,26
1904823103,22,3,25
1907943324,22,4,26
2195634502,22,3,25
2241717492,22,4,26
2261000927,22,4,26
2268344145,22,3,25
2297125818,22,4,26
2302191793,22,3,25
2303776496,22,2,24
2321272902,22,3,25
2337236772,22,3,25
2412231368,22,3,25
2597438132,22,4,26
2651777845,22,4,26
2712144110,22,2,24
2789826107,22,4,26
2893138953,22,2,24
2894919166,22,0,22
2897913085,22,3,25
2898756616,22,5,27
2983991113,22,4,26
3000261851,22,1,23
3007401576,22,4,26
3040072657,22,3,25
3063990535,22,4,26
3066573123,22,3,25
3197757102,22,4,26
3268828026,22,1,23
3273222469,22,4,26
3281458244,22,3,25
3303825881,22,3,25
3317055925,22,3,25
3377728804,22,3,25
3420540252,22,4,26
3433590633,22,2,24
3473311992,22,3,25
3586652594,22,5,27
3589527318,22,4,26
3750897171,22,2,24
3824077212,22,3,25
3884926699,22,3,25
3885993200,22,4,26
3909312929,22,2,24
3946780887,22,4,26
3997870336,22,2,24
4029747432,22,4,26
4291655293,22,3,25
4418684392,22,2,24
4498771938,22,3,25
4605113535,22,3,25
4725227294,22,2,24
4818110147,22,5,27
4821423943,22,4,26
4865796322,22,3,25
701253999228354560,22,3,25
702313144346017792,22,3,25
702511602952708098,22,3,25
702895208497856512,22,4,26
704828264821321728,22,2,24
706900251957788672,22,2,24
