id,date_captured,tweet_counts
56578,2016-07-29 14:55:23.479796,30
56589,2016-07-29 15:04:07.415236,12
56592,2016-07-29 15:09:37.587751,244
56610,2016-07-29 15:23:20.194488,1
56646,2016-07-29 15:35:13.945181,4
56662,2016-07-29 15:46:46.251599,91
56703,2016-07-29 16:05:14.020743,34
56745,2016-07-29 16:24:57.195215,72
56755,2016-07-29 16:30:20.091625,1
56757,2016-07-29 16:33:23.996516,10
56761,2016-07-29 16:35:20.399138,1
56763,2016-06-29 13:20:54.103219,676
56778,2016-07-29 16:46:03.148448,46
56795,2016-07-29 16:57:40.605894,6
56843,2016-07-29 17:20:17.196228,648
56873,2016-07-29 17:34:56.334672,1
56880,2016-07-29 17:35:19.506834,3
56881,2016-07-29 17:35:12.460764,1
56911,2016-07-29 17:47:27.388115,36
56917,2016-07-29 17:51:48.459898,1
56925,2016-06-29 13:20:54.103219,225
56932,2016-07-29 17:59:16.998344,183
56943,2016-07-29 18:03:34.177241,1
57010,2016-07-29 18:41:02.377189,171
57027,2016-07-29 18:56:29.408161,1
57046,2016-07-29 19:05:24.598267,1
57051,2016-07-29 19:06:23.857768,2
57052,2016-07-29 19:06:40.477595,1
57054,2016-07-29 19:10:48.820677,1
57087,2016-07-29 19:25:14.789609,72
57101,2016-07-29 19:34:40.505358,14
57126,2016-07-29 19:48:42.581512,7
57170,2016-07-29 20:08:09.036946,213
57206,2016-07-29 20:30:43.660716,23
57209,2016-06-29 13:20:54.103219,447
57283,2016-07-29 21:20:35.076348,2
57284,2016-07-29 21:25:45.224202,1
57290,2016-07-29 21:27:57.525485,144
57302,2016-07-29 21:35:08.024261,2
57322,2016-07-29 21:49:05.419024,3
57345,2016-07-29 22:07:59.860208,1
57391,2016-07-29 22:30:24.297108,1
57429,2016-07-29 23:03:42.244166,4
57448,2016-07-29 23:12:51.696689,3
57471,2016-07-29 23:32:23.102247,1
57516,2016-07-30 00:19:08.936937,3
57555,2016-07-30 00:46:05.139598,1
57583,2016-07-30 01:10:40.568162,22
57587,2016-07-30 01:13:13.640357,1
57642,2016-07-30 02:09:05.807869,61
57646,2016-07-30 02:17:53.019793,2
57673,2016-07-30 02:53:08.925168,2
57677,2016-07-30 02:54:18.866198,1
57717,2016-06-29 13:20:54.103219,18
57725,2016-07-30 03:28:27.911936,24
57738,2016-07-30 04:18:52.791581,2
57767,2016-07-30 05:11:18.554019,2
57772,2016-07-30 05:17:26.419977,12
57865,2016-07-30 08:11:12.191534,1
57905,2016-07-30 09:11:38.545252,1
57909,2016-07-30 09:18:40.248287,1
57914,2016-07-30 09:30:48.645637,9
57923,2016-07-30 09:50:30.653102,2
57937,2016-06-29 13:20:54.103219,78
57952,2016-07-30 10:23:07.232405,1549
58014,2016-06-29 13:20:54.103219,1097
58067,2016-07-30 12:37:09.858038,2
58107,2016-07-30 13:24:31.922356,20
58222,2016-07-30 14:38:17.227977,1
58282,2016-07-30 15:21:48.971536,1
58348,2016-07-30 16:21:23.261701,1
58430,2016-06-29 13:20:54.103219,5
58432,2016-07-30 17:39:03.863937,3
58439,2016-07-30 17:44:24.34633,6
58460,2016-07-30 18:02:07.844359,2
58485,2016-07-30 18:23:32.419022,10
58488,2016-07-30 18:32:56.428085,3
58497,2016-07-30 18:42:11.077984,2
58547,2016-07-30 19:11:07.642371,5
58548,2016-07-30 19:12:37.140473,3
58569,2016-07-30 19:22:07.732522,3
58585,2016-07-30 19:32:52.302408,1
58615,2016-07-30 20:05:49.42414,6
58641,2016-07-30 20:26:05.417325,146
58668,2016-07-30 20:50:06.182971,331
58712,2016-07-30 21:19:05.03979,1
58720,2016-07-30 21:25:24.786969,5
58743,2016-07-30 21:41:02.2263,2
58818,2016-07-30 22:39:09.836446,19
58851,2016-07-30 23:03:49.373386,2
58864,2016-07-30 23:14:54.40618,81
58916,2016-07-31 00:13:34.604573,1
58922,2016-06-29 13:20:54.103219,146
58926,2016-07-31 00:26:52.11543,8
58943,2016-07-31 00:47:49.057479,1
58967,2016-07-31 01:22:23.631052,2
58969,2016-07-31 01:24:40.758778,2
58978,2016-07-31 01:38:04.656767,2
58984,2016-07-31 01:45:13.103092,1
59043,2016-07-31 02:35:18.995244,12
59045,2016-07-31 02:43:13.162173,1
59097,2016-06-29 13:20:54.103219,969
59167,2016-07-31 04:30:16.54572,2
59207,2016-06-29 13:20:54.103219,35
59228,2016-07-31 06:30:24.389404,3
59254,2016-07-31 07:02:20.62181,1
59303,2016-07-31 08:12:00.321172,1
59305,2016-07-31 08:12:31.258402,3
59360,2016-07-31 09:10:40.552053,1
59363,2016-07-31 09:13:20.678764,33
59679,2016-07-31 14:15:18.83165,1
59714,2016-07-31 14:45:55.211678,226
59819,2016-07-31 16:14:07.921418,48
59847,2016-07-31 16:37:58.609044,1
59895,2016-07-31 17:09:41.224268,3
59917,2016-07-31 17:27:47.388068,2
59957,2016-07-31 18:01:05.581465,136
59959,2016-07-31 18:00:51.143345,2
59980,2016-07-31 18:24:07.818604,20
60005,2016-07-31 18:58:30.998542,2
60030,2016-07-31 19:18:39.450235,10
60031,2016-07-31 19:18:25.933973,8
60059,2016-07-31 19:52:28.483673,2
60082,2016-07-31 20:23:21.519764,1
60090,2016-07-31 20:30:27.898959,36
60137,2016-07-31 21:17:19.881184,2
60171,2016-07-31 22:01:05.515112,3
60183,2016-07-31 22:10:59.226128,1
60209,2016-06-29 13:20:54.103219,51
60241,2016-07-31 22:48:03.747002,617
