user_id,n_fake_urls,n_fact_urls,n_total_urls
317652514,925,3,928
1264566066,917,1,918
3621958574,917,3,920
884311340,913,18,931
156807569,912,12,924
3274720530,911,17,928
767211983183544320,909,2,911
217575068,907,11,918
4922661084,900,0,900
558738770,898,3,901
519157129,896,14,910
184897616,891,9,900
226110292,891,0,891
57388012,890,2,892
3410475429,890,6,896
905898240,888,35,923
71862569,884,9,893
61921063,883,2,885
3431524759,883,0,883
3472785196,883,0,883
701539075208011776,879,1,880
1373192226,877,0,877
860691823,875,7,882
2985934030,873,0,873
141938077,872,5,877
3214717179,871,2,873
70804774,870,3,873
496300822,870,2,872
337856162,868,4,872
356360314,866,10,876
2786494571,863,3,866
812079846,860,24,884
1408487016,849,4,853
799257679915008003,845,1,846
22179370,844,0,844
552619880,842,1,843
751963872899305472,841,1,842
3268828026,839,1,840
3055008884,838,0,838
73533261,837,1,838
49884490,836,8,844
1566855548,834,1,835
2571409351,834,3,837
544589549,833,26,859
111642101,832,3,835
81188804,830,0,830
3039024478,830,2,832
4851493023,827,7,834
2417844248,821,3,824
767723635045863426,821,2,823
2595978877,819,4,823
2853443310,819,38,857
15640075,814,5,819
20517889,814,8,822
560796972,813,6,819
3430537311,811,12,823
754567562504142848,810,0,810
758690039308091393,810,0,810
271602903,808,11,819
3824077212,807,13,820
154036527,805,2,807
263787445,803,1,804
4687754948,802,3,805
4787266529,799,4,803
2279807934,796,0,796
2957418269,796,2,798
2326604153,795,4,799
824328062,792,12,804
781707318295748608,792,1,793
223184512,791,4,795
950804761,791,5,796
2473143948,791,18,809
24226326,789,20,809
2700167659,788,5,793
2159250657,787,5,792
2705400409,787,5,792
2949051936,787,20,807
190939080,783,0,783
1699487874,783,19,802
2462473820,783,0,783
126646669,777,3,780
3522283105,776,0,776
228055022,771,1,772
3664925599,771,20,791
72546927,770,7,777
600415314,770,2,772
193525826,766,0,766
853766604,764,8,772
952296307,764,21,785
733467830478245890,763,10,773
1414122888,762,1,763
1423825207,761,0,761
154889886,760,10,770
550487203,760,23,783
2199893304,756,0,756
403211452,755,4,759
316821017,754,2,756
383583763,752,0,752
2906473932,752,70,822
2278197342,751,9,760
104452282,750,2,752
2920257085,749,2,751
461409282,747,4,751
771476711837831168,747,2,749
4498776677,746,4,750
74161921,745,1,746
3321952723,745,21,766
291121786,741,1,742
708458185494040576,740,14,754
123673697,739,1,740
599445694,739,56,795
3221921520,739,0,739
382209139,737,9,746
2414855658,737,0,737
2753220014,735,6,741
3991199422,734,0,734
2980186012,733,33,766
1337808126,731,0,731
28352024,729,1,730
1488495162,728,3,731
4064331736,727,19,746
4837004436,727,7,734
916084236,725,20,745
964546038,721,1,722
2327500422,718,14,732
2371830000,718,1,719
2836839353,718,6,724
4922868578,717,9,726
3293644245,716,0,716
552335271,715,25,740
1400943320,715,32,747
96440540,712,1,713
345343418,712,8,720
757282541745213440,711,0,711
20909037,707,8,715
51210644,707,3,710
62493973,707,63,770
742822332427735041,707,4,711
3153844428,706,33,739
465158270,705,14,719
68446756,704,0,704
3020455940,704,23,727
20332797,703,1,704
42996191,700,3,703
48866739,700,34,734
176909116,696,2,698
913517954,696,5,701
4055906223,694,16,710
703335845269368833,694,6,700
4517951,690,13,703
2302191793,690,7,697
3884926699,689,13,702
4655360417,689,0,689
18740607,688,4,692
739469799462449152,686,12,698
2303716045,685,16,701
728782203706953735,685,7,692
90408018,683,0,683
1287092424,683,0,683
15273001,681,9,690
97793731,681,20,701
30703815,680,6,686
741010128904847365,680,0,680
220824049,678,0,678
3914047581,676,15,691
4201300533,676,2,678
632378545,675,1,676
713690590102335488,675,11,686
838399572,674,4,678
43257447,673,2,675
557468072,673,17,690
3318612142,673,5,678
157132349,670,1,671
710088641243123712,670,15,685
1300838640,668,3,671
760004348135018496,668,5,673
183657109,665,0,665
134978456,662,6,668
23479954,661,7,668
287505023,661,11,672
715351137050710016,661,1,662
15995652,659,17,676
1418775942,659,11,670
2514475647,657,9,666
114342695,656,1,657
4856364013,656,6,662
144367359,655,0,655
456775778,655,16,671
739470325,655,1,656
2387884148,655,0,655
2723265539,655,5,660
2784956779,655,0,655
227962095,651,2,653
3345957741,651,6,657
2997416048,650,0,650
18903953,648,4,652
553991829,648,0,648
1424605753,648,23,671
2440059511,648,0,648
263504882,647,30,677
4858879587,645,5,650
3499636752,644,35,679
18557659,643,7,650
2341977604,640,48,688
3608463552,640,33,673
1451597376,639,0,639
3593568440,636,0,636
1229074621,635,0,635
3021539556,634,2,636
4230384973,634,26,660
712866409903177728,633,3,636
709532601032286209,631,21,652
3707516413,630,1,631
285328319,629,7,636
715206419163709440,629,0,629
17468666,628,24,652
125744394,628,12,640
885445418,628,3,631
3104545022,627,1,628
750776657523408896,627,40,667
755363854192816128,627,0,627
145856687,626,17,643
3030545658,625,19,644
3586180212,625,0,625
3750897171,624,16,640
900355423,623,25,648
519728191,622,39,661
19921268,620,20,640
735317961452494848,619,0,619
4910378597,617,26,643
785514484534214656,616,2,618
